org,file_,URL,File,Require,Ensure,Include,Attribute,Hard_coded_string,Command,File_mode,SSH_KEY,Lines_of_code,Comment,defect_status
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/jenkins/slave/custom_scripts.pp,0,1,3,2,5,13,11,0,2,2,69,9,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-external-ceph/deployment_scripts/puppet/modules/external_ceph/manifests/conf.pp,0,3,0,3,3,9,8,0,2,2,46,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/test_file.pp,0,1,0,0,0,1,5,0,0,0,29,15,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-vxlan-vlan-7/deployment_scripts/configure-ml2-controller.pp,0,0,0,3,4,17,9,0,0,0,57,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/devops_tools/lpupdatebug.pp,0,3,4,3,7,23,26,0,3,3,90,24,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/controller.pp,2,0,0,0,0,104,42,0,0,0,315,65,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/puppet/master.pp,0,1,3,1,4,26,26,1,1,1,102,36,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/jenkins/manifests/master.pp,3,9,11,15,29,121,91,3,8,8,438,47,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-celebrer/deployment_scripts/puppet/modules/celebrer/manifests/params.pp,0,0,0,0,0,0,19,0,0,0,39,4,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/init.pp,0,0,0,1,1,1,1,0,0,0,21,13,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/roles/manifests/openstack/pmlc_controller.pp,0,0,0,0,9,0,0,0,0,0,42,18,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-kafka/manifests/mirror.pp,0,3,4,3,7,13,5,0,0,0,94,14,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-standalone-ceph/deployment_scripts/modules/ceph_override/manifests/ceph/enable_rados.pp,0,1,0,3,4,16,13,0,1,1,69,1,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/ssh/manifests/banner.pp,0,1,0,0,0,4,3,0,1,1,18,8,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-concat/spec/fixtures/manifests/site.pp,0,0,0,0,0,0,0,0,0,0,0,0,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppetlabs-openstack/manifests/glance.pp,2,0,0,0,0,23,17,0,0,0,84,31,0
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/fuel-plugin-etckeeper/deployment_scripts/etckeeper_commit.pp,0,0,0,0,1,3,4,1,0,0,15,0,1
MIRANTIS,/Users/akond/PUPP_REPOS/mirantis-downloads/puppet-manifests/modules/fuel_project/manifests/roles/mailman.pp,0,0,0,0,0,3,3,0,0,0,18,4,0
